census_code,id,dist_name,id(ours),dist_name(ors),,,,seperated from
550,3709,Nellore,550,Nellore,,Nellore,46,
638,3501,Nicobar,638,Nicobars,,Nicobar,0,
611,3310,Nilgiris,611,The Nilgiris,Nilgiris,Nilgiris,2,
533,3602,Nizamabad,533,Nizamabad,Nizamabad,Nizamabad,9,
337,1911,North 24 Parganas,337,North Twenty Four Parganas,North 24 Parganas,North 24 Parganas,38,
639,3502,North and Middle Andaman,639,Andaman,,North and Middle Andaman,10,"South Andaman, North  & Middle Andaman"
91,702,North Delhi,91,North,North Delhi,North Delhi,49,
92,703,North East  Delhi,92,North East,Delhi,North East  Delhi,40,
585,3001,North Goa,585,North Goa,North Goa,North Goa,91,
242,1101,North Sikkim,241,North  District,,North Sikkim,4,
292,1604,North Tripura,292,North Tripura,North Tripura,North Tripura,0,Unakoti
90,701,North West  Delhi,90,North West,,North West Delhi,16,
394,2125,Nuapada,394,Nuapada,,Nuapada,0,
525,2729,Osmanabad,525,Osmanabad,Osmanabad,Osmanabad,2,
353,2008,Pakur,353,Pakur,Pakur,Pakur,0,
