census_code,id,dist_name,id(ours),dist_name(ors),,,,ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
,,,,,Sangareddy,"[""Sangareddy""]",3900000,,,,,,,,,
596,3209,Idukki,596,Idukki ,Idukki,"[""Idukki""]",9400000,3,3,3,3,3,1,16,3,
278,1407,Imphal East,278,Imphal East,Imphal East,"[""Imphal East""]",2600000,3,3,3,3,3,1,16,3,
277,1406,Imphal West,277,Imphal West,,,,3,3,3,3,3,3,18,3,
439,2322,Indore,439,Indore,Indore,"[""Indore""]",135200000,3,3,3,3,3,3,18,3,
451,2334,Jabalpur,451,Jabalpur,Jabalpur,"[""Jabalpur""]",61200000,3,3,3,3,3,3,18,3,
380,2111,Jagatsinghpur,380,Jagatsinghapur ,,,,2,3,2,2,3,2,14,2,
299,1707,West Jaintia Hills,299,Jaintia Hills,,,,2,1,2,1,2,1,9,1,
110,812,Jaipur,110,Jaipur ,Jaipur,"[""Jaipur""]",475400000,3,3,3,3,3,3,18,3,
114,816,Jaisalmer,114,Jaisalmer,Jaisalmer,"[""Jaisalmer""]",55100000,2,1,1,1,2,2,9,1,
382,2113,Jajpur,382,Jajapur  ,Jajpur,"[""Jajpur""]",19200000,2,2,1,2,3,2,12,2,
37,303,Jalandhar,37,Jalandhar,Jalandhar,"[""Jalandhar""]",4800000,3,3,3,3,3,3,18,3,
165,934,Jalaun,165,Jalaun ,,,,3,1,1,2,1,2,10,1,
